,plate,well,D12,D3,strain,condition,auc,dgr
0,3,A1,SH3,empty,BY4741-mVenus-D3,MTX,183.9075,0.108
1,3,B1,GBD,empty,BY4741-mVenus-D3,MTX,146.8995,0.0999999999999996
2,3,C1,GRB2,empty,BY4741-mVenus-D3,MTX,184.98,0.116
3,3,D1,pdz.1,empty,BY4741-mVenus-D3,MTX,114.8245,0.0839999999999996
4,3,E1,pdz.2,empty,BY4741-mVenus-D3,MTX,15.2385,0.012
5,3,F1,pdz.3,empty,BY4741-mVenus-D3,MTX,146.9545,0.0999999999999996
6,3,G1,sh3.1,empty,BY4741-mVenus-D3,MTX,146.2155,0.0959999999999996
7,3,H1,sh3.2,empty,BY4741-mVenus-D3,MTX,159.149,0.104
8,3,A2,SH3,empty,BY4741-mVenus-D3,MTX,166.2395,0.112
9,3,B2,GBD,empty,BY4741-mVenus-D3,MTX,130.1465,0.0920000000000001
10,3,C2,GRB2,empty,BY4741-mVenus-D3,MTX,164.008,0.108
11,3,D2,pdz.1,empty,BY4741-mVenus-D3,MTX,136.3565,0.0920000000000001
12,3,E2,pdz.2,empty,BY4741-mVenus-D3,MTX,12.751,0.00800000000000001
13,3,F2,pdz.3,empty,BY4741-mVenus-D3,MTX,124.2505,0.0880000000000001
14,3,G2,sh3.1,empty,BY4741-mVenus-D3,MTX,128.4265,0.0880000000000001
15,3,H2,sh3.2,empty,BY4741-mVenus-D3,MTX,166.499,0.112
16,3,A3,SH3,empty,BY4741-mVenus-D3,MTX,218.7635,0.124
17,3,B3,GBD,empty,BY4741-mVenus-D3,MTX,136.778,0.0880000000000001
18,3,C3,GRB2,empty,BY4741-mVenus-D3,MTX,189.774,0.116
19,3,D3,pdz.1,empty,BY4741-mVenus-D3,MTX,151.144,0.0920000000000001
20,3,E3,pdz.2,empty,BY4741-mVenus-D3,MTX,23.0865,0.016
21,3,F3,pdz.3,empty,BY4741-mVenus-D3,MTX,147.8155,0.0960000000000001
22,3,G3,sh3.1,empty,BY4741-mVenus-D3,MTX,135.682,0.0880000000000001
23,3,H3,sh3.2,empty,BY4741-mVenus-D3,MTX,176.8985,0.112
24,3,A4,sh3.3,empty,BY4741-mVenus-D3,MTX,121.553,0.0880000000000001
25,3,B4,sh3.4,empty,BY4741-mVenus-D3,MTX,128.477,0.0920000000000001
26,3,C4,gbd1,empty,BY4741-mVenus-D3,MTX,118.6845,0.0840000000000001
27,3,D4,gab2,empty,BY4741-mVenus-D3,MTX,131.412,0.0960000000000001
28,3,E4,empty,empty,BY4741-mVenus-D3,MTX,137.68,0.0959999999999996
29,3,G4,empty,PDZ,BY4741-mVenus-D12,MTX,158.869,0.108
30,3,H4,empty,SH3,BY4741-mVenus-D12,MTX,209.2995,0.12
31,3,A5,sh3.3,empty,BY4741-mVenus-D3,MTX,138.5875,0.0920000000000001
32,3,B5,sh3.4,empty,BY4741-mVenus-D3,MTX,136.9905,0.0880000000000001
33,3,C5,gbd1,empty,BY4741-mVenus-D3,MTX,127.324,0.0880000000000001
34,3,D5,gab2,empty,BY4741-mVenus-D3,MTX,109.53,0.0800000000000001
35,3,E5,empty,empty,BY4741-mVenus-D3,MTX,122.988,0.0800000000000001
36,3,G5,empty,PDZ,BY4741-mVenus-D12,MTX,127.927,0.0880000000000001
37,3,H5,empty,SH3,BY4741-mVenus-D12,MTX,151.3255,0.104
38,3,A6,sh3.3,empty,BY4741-mVenus-D3,MTX,159.621,0.0999999999999996
39,3,B6,sh3.4,empty,BY4741-mVenus-D3,MTX,164.1745,0.0920000000000005
40,3,C6,gbd1,empty,BY4741-mVenus-D3,MTX,137.771,0.0919999999999996
41,3,D6,gab2,empty,BY4741-mVenus-D3,MTX,133.271,0.0920000000000001
42,3,E6,empty,empty,BY4741-mVenus-D3,MTX,148.04,0.0920000000000001
43,3,G6,empty,PDZ,BY4741-mVenus-D12,MTX,169.6805,0.108
44,3,H6,empty,SH3,BY4741-mVenus-D12,MTX,152.558,0.104
45,3,A7,empty,GBD,BY4741-mVenus-D12,MTX,74.01,0.0720000000000001
46,3,B7,empty,GRB2,BY4741-mVenus-D12,MTX,142.966,0.1
47,3,C7,empty,pdz.1,BY4741-mVenus-D12,MTX,112.509,0.0920000000000001
48,3,D7,empty,pdz.2,BY4741-mVenus-D12,MTX,152.499,0.1
49,3,E7,empty,pdz.3,BY4741-mVenus-D12,MTX,156.6625,0.108
50,3,F7,empty,sh3.1,BY4741-mVenus-D12,MTX,137.279,0.1
51,3,G7,empty,sh3.2,BY4741-mVenus-D12,MTX,154.6745,0.1
52,3,H7,empty,sh3.3,BY4741-mVenus-D12,MTX,134.8805,0.1
53,3,A8,empty,GBD,BY4741-mVenus-D12,MTX,66.277,0.0640000000000001
54,3,B8,empty,GRB2,BY4741-mVenus-D12,MTX,141.6725,0.0999999999999996
55,3,C8,empty,pdz.1,BY4741-mVenus-D12,MTX,133.05,0.0920000000000001
56,3,D8,empty,pdz.2,BY4741-mVenus-D12,MTX,151.5795,0.104
57,3,E8,empty,pdz.3,BY4741-mVenus-D12,MTX,151.5035,0.108
58,3,F8,empty,sh3.1,BY4741-mVenus-D12,MTX,124.402,0.0920000000000001
59,3,G8,empty,sh3.2,BY4741-mVenus-D12,MTX,128.4085,0.0920000000000001
60,3,H8,empty,sh3.3,BY4741-mVenus-D12,MTX,117.6975,0.0880000000000001
61,3,A9,empty,GBD,BY4741-mVenus-D12,MTX,100.1235,0.0640000000000001
62,3,B9,empty,GRB2,BY4741-mVenus-D12,MTX,164.3745,0.104
63,3,C9,empty,pdz.1,BY4741-mVenus-D12,MTX,152.9415,0.0960000000000001
64,3,D9,empty,pdz.2,BY4741-mVenus-D12,MTX,164.721,0.1
65,3,E9,empty,pdz.3,BY4741-mVenus-D12,MTX,150.285,0.108
66,3,F9,empty,sh3.1,BY4741-mVenus-D12,MTX,123.7495,0.0959999999999996
67,3,G9,empty,sh3.2,BY4741-mVenus-D12,MTX,144.838,0.0960000000000001
68,3,H9,empty,sh3.3,BY4741-mVenus-D12,MTX,117.1775,0.0880000000000001
69,3,A10,empty,sh3.4,BY4741-mVenus-D12,MTX,122.9765,0.0880000000000001
70,3,B10,empty,gbd1,BY4741-mVenus-D12,MTX,124.5805,0.0880000000000001
71,3,C10,empty,gab2,BY4741-mVenus-D12,MTX,125.9805,0.1
72,3,D10,empty,empty,BY4741-mVenus-D12,MTX,110.825,0.0840000000000001
73,3,F10,PDZ,empty,BY4741-mVenus-D3,MTX,180.544,0.108
74,3,G10,control,control,control,MTX,0.1665,0.004
75,3,H10,control,control,control,MTX,0.2115,0.004
76,3,A11,empty,sh3.4,BY4741-mVenus-D12,MTX,151.83,0.0920000000000001
77,3,B11,empty,gbd1,BY4741-mVenus-D12,MTX,126.6715,0.0919999999999996
78,3,C11,empty,gab2,BY4741-mVenus-D12,MTX,122.5165,0.0840000000000001
79,3,D11,empty,empty,BY4741-mVenus-D12,MTX,134.077,0.0880000000000001
80,3,F11,PDZ,empty,BY4741-mVenus-D3,MTX,166.696,0.104
81,3,G11,control,control,control,MTX,0.1575,0.004
82,3,H11,control,control,control,MTX,0.2415,0.004
83,3,A12,empty,sh3.4,BY4741-mVenus-D12,MTX,152.552,0.104
84,3,B12,empty,gbd1,BY4741-mVenus-D12,MTX,134.756,0.0880000000000001
85,3,C12,empty,gab2,BY4741-mVenus-D12,MTX,160.3145,0.0960000000000001
86,3,D12,empty,empty,BY4741-mVenus-D12,MTX,151.1905,0.0920000000000001
87,3,F12,PDZ,empty,BY4741-mVenus-D3,MTX,159.986,0.1
88,3,G12,control,control,control,MTX,0.004,0.004
89,3,H12,control,control,control,MTX,0.1695,0.004
90,4,A1,SH3,empty,BY4741-mVenus-D3,DMSO,111.636,0.112
91,4,B1,GBD,empty,BY4741-mVenus-D3,DMSO,111.6835,0.112
92,4,C1,GRB2,empty,BY4741-mVenus-D3,DMSO,110.2245,0.116
93,4,D1,pdz.1,empty,BY4741-mVenus-D3,DMSO,105.435,0.108
94,4,E1,pdz.2,empty,BY4741-mVenus-D3,DMSO,106.428,0.108
95,4,F1,pdz.3,empty,BY4741-mVenus-D3,DMSO,112.1205,0.108
96,4,G1,sh3.1,empty,BY4741-mVenus-D3,DMSO,108.6665,0.112
97,4,H1,sh3.2,empty,BY4741-mVenus-D3,DMSO,106.071,0.104
98,4,A2,SH3,empty,BY4741-mVenus-D3,DMSO,114.235,0.112
99,4,B2,GBD,empty,BY4741-mVenus-D3,DMSO,112.7575,0.112
100,4,C2,GRB2,empty,BY4741-mVenus-D3,DMSO,111.923,0.108
101,4,D2,pdz.1,empty,BY4741-mVenus-D3,DMSO,114.1535,0.112
102,4,E2,pdz.2,empty,BY4741-mVenus-D3,DMSO,111.5735,0.108
103,4,F2,pdz.3,empty,BY4741-mVenus-D3,DMSO,112.4925,0.108
104,4,G2,sh3.1,empty,BY4741-mVenus-D3,DMSO,109.6265,0.108
105,4,H2,sh3.2,empty,BY4741-mVenus-D3,DMSO,106.9475,0.108
106,4,A3,SH3,empty,BY4741-mVenus-D3,DMSO,138.596,0.124
107,4,B3,GBD,empty,BY4741-mVenus-D3,DMSO,116.8975,0.111999999999999
108,4,C3,GRB2,empty,BY4741-mVenus-D3,DMSO,121.5405,0.112
109,4,D3,pdz.1,empty,BY4741-mVenus-D3,DMSO,115.6205,0.116
110,4,E3,pdz.2,empty,BY4741-mVenus-D3,DMSO,119.393,0.112
111,4,F3,pdz.3,empty,BY4741-mVenus-D3,DMSO,114.272,0.112
112,4,G3,sh3.1,empty,BY4741-mVenus-D3,DMSO,117.152,0.112
113,4,H3,sh3.2,empty,BY4741-mVenus-D3,DMSO,119.036,0.116
114,4,A4,sh3.3,empty,BY4741-mVenus-D3,DMSO,117.203,0.112
115,4,B4,sh3.4,empty,BY4741-mVenus-D3,DMSO,115.812,0.112
116,4,C4,gbd1,empty,BY4741-mVenus-D3,DMSO,110.3255,0.108
117,4,D4,gab2,empty,BY4741-mVenus-D3,DMSO,106.9755,0.104
118,4,E4,empty,empty,BY4741-mVenus-D3,DMSO,111.9665,0.112
119,4,G4,empty,PDZ,BY4741-mVenus-D12,DMSO,124.78,0.128
120,4,H4,empty,SH3,BY4741-mVenus-D12,DMSO,130.8755,0.144
121,4,A5,sh3.3,empty,BY4741-mVenus-D3,DMSO,121.348,0.112
122,4,B5,sh3.4,empty,BY4741-mVenus-D3,DMSO,117.055,0.108
123,4,C5,gbd1,empty,BY4741-mVenus-D3,DMSO,117.5655,0.112
124,4,D5,gab2,empty,BY4741-mVenus-D3,DMSO,112.089,0.108
125,4,E5,empty,empty,BY4741-mVenus-D3,DMSO,124.1855,0.112
126,4,G5,empty,PDZ,BY4741-mVenus-D12,DMSO,122.796,0.124
127,4,H5,empty,SH3,BY4741-mVenus-D12,DMSO,118.7115,0.128
128,4,A6,sh3.3,empty,BY4741-mVenus-D3,DMSO,121.5735,0.116000000000001
129,4,B6,sh3.4,empty,BY4741-mVenus-D3,DMSO,122.6645,0.112
130,4,C6,gbd1,empty,BY4741-mVenus-D3,DMSO,117.8815,0.112
131,4,D6,gab2,empty,BY4741-mVenus-D3,DMSO,115.4135,0.112
132,4,E6,empty,empty,BY4741-mVenus-D3,DMSO,120.5725,0.112
133,4,G6,empty,PDZ,BY4741-mVenus-D12,DMSO,122.931,0.128
134,4,H6,empty,SH3,BY4741-mVenus-D12,DMSO,110.606,0.12
135,4,A7,empty,GBD,BY4741-mVenus-D12,DMSO,123.17,0.132
136,4,B7,empty,GRB2,BY4741-mVenus-D12,DMSO,117.189,0.124
137,4,C7,empty,pdz.1,BY4741-mVenus-D12,DMSO,119.602,0.124
138,4,D7,empty,pdz.2,BY4741-mVenus-D12,DMSO,119.287,0.124
139,4,E7,empty,pdz.3,BY4741-mVenus-D12,DMSO,117.2245,0.124
140,4,F7,empty,sh3.1,BY4741-mVenus-D12,DMSO,131.001,0.132
141,4,G7,empty,sh3.2,BY4741-mVenus-D12,DMSO,133.348,0.14
142,4,H7,empty,sh3.3,BY4741-mVenus-D12,DMSO,126.2945,0.136
143,4,A8,empty,GBD,BY4741-mVenus-D12,DMSO,126.837,0.132
144,4,B8,empty,GRB2,BY4741-mVenus-D12,DMSO,123.8335,0.128
145,4,C8,empty,pdz.1,BY4741-mVenus-D12,DMSO,127.551,0.128
146,4,D8,empty,pdz.2,BY4741-mVenus-D12,DMSO,126.316,0.132
147,4,E8,empty,pdz.3,BY4741-mVenus-D12,DMSO,125.92,0.128
148,4,F8,empty,sh3.1,BY4741-mVenus-D12,DMSO,124.5345,0.128
149,4,G8,empty,sh3.2,BY4741-mVenus-D12,DMSO,121.7445,0.124
150,4,H8,empty,sh3.3,BY4741-mVenus-D12,DMSO,121.999,0.132
151,4,A9,empty,GBD,BY4741-mVenus-D12,DMSO,124.9925,0.136
152,4,B9,empty,GRB2,BY4741-mVenus-D12,DMSO,118.555,0.128
153,4,C9,empty,pdz.1,BY4741-mVenus-D12,DMSO,124.9515,0.124
154,4,D9,empty,pdz.2,BY4741-mVenus-D12,DMSO,128.2665,0.128
155,4,E9,empty,pdz.3,BY4741-mVenus-D12,DMSO,122.2935,0.124
156,4,F9,empty,sh3.1,BY4741-mVenus-D12,DMSO,121.8965,0.128
157,4,G9,empty,sh3.2,BY4741-mVenus-D12,DMSO,118.5585,0.124
158,4,H9,empty,sh3.3,BY4741-mVenus-D12,DMSO,123.5945,0.132
159,4,A10,empty,sh3.4,BY4741-mVenus-D12,DMSO,123.61,0.132
160,4,B10,empty,gbd1,BY4741-mVenus-D12,DMSO,123.4585,0.124
161,4,C10,empty,gab2,BY4741-mVenus-D12,DMSO,117.4835,0.124
162,4,D10,empty,empty,BY4741-mVenus-D12,DMSO,119.6355,0.124
163,4,F10,PDZ,empty,BY4741-mVenus-D3,DMSO,120.8755,0.111999999999999
164,4,G10,control,control,control,DMSO,-0.001,0
165,4,H10,control,control,control,DMSO,0.2175,0.004
166,4,A11,empty,sh3.4,BY4741-mVenus-D12,DMSO,125.946,0.132
167,4,B11,empty,gbd1,BY4741-mVenus-D12,DMSO,121.2115,0.124
168,4,C11,empty,gab2,BY4741-mVenus-D12,DMSO,130.1295,0.132
169,4,D11,empty,empty,BY4741-mVenus-D12,DMSO,127.7175,0.128
170,4,F11,PDZ,empty,BY4741-mVenus-D3,DMSO,120.0065,0.108
171,4,G11,control,control,control,DMSO,0.185,0.004
172,4,H11,control,control,control,DMSO,0.1595,0.004
173,4,A12,empty,sh3.4,BY4741-mVenus-D12,DMSO,121.301,0.128
174,4,B12,empty,gbd1,BY4741-mVenus-D12,DMSO,125.208,0.132
175,4,C12,empty,gab2,BY4741-mVenus-D12,DMSO,124.2425,0.132
176,4,D12,empty,empty,BY4741-mVenus-D12,DMSO,126.835,0.132
177,4,F12,PDZ,empty,BY4741-mVenus-D3,DMSO,115.238,0.112
178,4,G12,control,control,control,DMSO,0.1585,0.004
179,4,H12,control,control,control,DMSO,0.1585,0
